,日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
67,2015/03/09,關山,PM2.5,11,9,10,11,7,6,8,9,11,13,12,13,12,9,6,4,9,12,11,7,6,7,8,8
68,2015/03/10,關山,PM2.5,6,6,9,6,6,6,6,8,8,11,10,4,4,7,6,6,6,6,10,12,13,11,8,6
69,2015/03/11,關山,PM2.5,6,6,10,9,5,5,4,4,9,9,5,1,1,1,1,2,5,6,5,4,3,3,1,1
70,2015/03/12,關山,PM2.5,1,1,1,1,1,1,1,1,1,3,1,13,8,3,1,1,2,5,2,1,1,1,2,6
71,2015/03/13,關山,PM2.5,8,7,5,6,6,6,4,2,4,4,3,3,3,2,1,2,6,5,6,4,2,5,4,3
72,2015/03/14,關山,PM2.5,3,4,5,3,3,5,7,8,8,10,9,7,8,6,4,6,5,5,10,11,9,9,9,9
73,2015/03/15,關山,PM2.5,6,6,6,6,7,6,6,11,13,13,12,11,12,10,9,9,6,6,6,7,7,4,7,6
74,2015/03/16,關山,PM2.5,5,6,6,9,10,11,10,9,10,11,12,14,14,10,8,6,4,6,8,7,7,5,4,5
75,2015/01/01,陽明,PM2.5,66,58,53,42,35,35,37,41,38,34,30,22,20,16,17,16,17,12,10,9,8,7,9,9
76,2015/01/02,陽明,PM2.5,10,10,11,12,11,13,17,16,17,16,16,11,12,13,12,13,12,12,11,10,10,9,8,9
77,2015/01/03,陽明,PM2.5,9,7,8,6,6,7,7,7,10,8,7,7,7,9,11,12,10,9,12,12,13,13,14,13
78,2015/01/04,陽明,PM2.5,16,18,14,20,24,21,31,32,24,22,23,26,38,25,33,36,34,37,34,16,11,7,8,9
79,2015/01/05,陽明,PM2.5,8,11,10,8,7,8,9,13,10,11,13,16,13,12,6,10,10,19,8,8,6,4,2,4
80,2015/01/06,陽明,PM2.5,6,6,6,4,5,9,6,6,5,6,20,13,16,13,21,16,23,19,8,6,4,2,1,1
81,2015/01/07,陽明,PM2.5,4,4,0,0,0,0,1,0,2,1,0,14,0,1,2,4,5,4,6,5,7,10,9,9
82,2015/01/08,陽明,PM2.5,11,23,21,26,25,22,32,34,36,37,36,35,32,29,32,33,34,31,30,28,26,20,11,10
83,2015/01/09,陽明,PM2.5,8,10,11,13,17,17,17,18,18,20,17,18,20,24,24,23,24,21,19,18,16,14,10,7
84,2015/01/10,陽明,PM2.5,6,5,5,7,6,6,9,10,10,11,16,11,16,14,17,19,19,20,20,23,29,30,30,34
85,2015/01/11,陽明,PM2.5,34,34,31,26,25,25,23,30,21,20,22,23,29,32,28,31,33,34,34,33,31,31,31,24
86,2015/01/12,陽明,PM2.5,23,24,23,22,22,23,26,26,25,21,20,23,25,28,28,19,4,1,0,0,0,0,0,0
87,2015/01/13,陽明,PM2.5,0,0,2,2,2,2,8,8,10,5,14,14,4,5,5,8,7,7,9,12,34,28,2,4
88,2015/01/14,陽明,PM2.5,2,0,0,0,0,2,0,0,1,1,0,0,0,0,5,7,6,6,7,6,7,7,8,8
89,2015/01/15,陽明,PM2.5,6,8,8,9,11,13,17,19,18,18,16,13,13,13,12,10,9,9,8,8,8,8,8,4
